epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,58.8445,1.59521,4.06636,1.00682,0.96781,0.96505,0.995,0.54395,2.41305,4.66826,1.13853,0.00073468,0.00073468,0.00073468
69,59.6592,1.63664,3.98307,0.97407,0.97026,0.98179,0.995,0.57588,2.31166,4.77695,1.10554,0.00073072,0.00073072,0.00073072
70,60.416,1.75716,4.04633,1.02582,0.97026,0.98179,0.995,0.57588,2.31166,4.77695,1.10554,0.00072676,0.00072676,0.00072676
71,61.2776,1.71918,3.89199,1.00463,0.9696,0.97976,0.995,0.56114,2.35441,4.8531,1.11488,0.0007228,0.0007228,0.0007228
72,62.0443,1.562,3.5498,0.95204,0.9696,0.97976,0.995,0.56114,2.35441,4.8531,1.11488,0.00071884,0.00071884,0.00071884
73,62.8528,1.65546,3.96753,0.97833,0.98348,0.92271,0.99,0.51627,2.44394,4.76871,1.15876,0.00071488,0.00071488,0.00071488
74,63.7395,1.4959,3.73248,0.94222,0.98348,0.92271,0.99,0.51627,2.44394,4.76871,1.15876,0.00071092,0.00071092,0.00071092
75,64.6131,1.48879,3.81396,0.96772,0.91008,0.98875,0.995,0.51052,2.43709,4.57778,1.17072,0.00070696,0.00070696,0.00070696
76,65.4407,1.58986,3.65869,0.9682,0.91008,0.98875,0.995,0.51052,2.43709,4.57778,1.17072,0.000703,0.000703,0.000703
77,66.271,1.5524,3.75188,0.97471,0.90656,0.9734,0.995,0.51323,2.43701,4.64423,1.20389,0.00069904,0.00069904,0.00069904
78,67.0809,1.69743,4.00498,1.01441,0.90656,0.9734,0.995,0.51323,2.43701,4.64423,1.20389,0.00069508,0.00069508,0.00069508
79,67.9315,1.66498,3.97904,0.9989,0.90179,0.96318,0.9925,0.55979,2.29485,4.60016,1.1993,0.00069112,0.00069112,0.00069112
