epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,89.4091,1.54029,2.07668,1.0207,0.96787,0.9697,0.96524,0.56349,2.21734,2.97554,1.59331,0.00067528,0.00067528,0.00067528
84,90.4117,1.68488,2.03514,1.06397,0.96787,0.9697,0.96524,0.56349,2.21734,2.97554,1.59331,0.00067132,0.00067132,0.00067132
85,91.3975,1.54549,1.97754,1.03119,0.93703,0.9697,0.99038,0.53592,2.35547,2.96083,1.61788,0.00066736,0.00066736,0.00066736
86,92.3164,1.62817,2.25358,1.08715,0.93703,0.9697,0.99038,0.53592,2.35547,2.96083,1.61788,0.0006634,0.0006634,0.0006634
87,93.4021,1.66631,2.11543,1.04475,0.97044,0.99183,0.995,0.51968,2.23679,2.84292,1.52043,0.00065944,0.00065944,0.00065944
88,94.366,1.53278,1.99674,1.01037,0.97044,0.99183,0.995,0.51968,2.23679,2.84292,1.52043,0.00065548,0.00065548,0.00065548
89,95.4033,1.84849,2.16111,1.13661,0.98508,0.99387,0.995,0.54575,2.22114,2.97009,1.50351,0.00065152,0.00065152,0.00065152
90,96.5623,1.5794,2.04028,1.05503,0.98508,0.99387,0.995,0.54575,2.22114,2.97009,1.50351,0.00064756,0.00064756,0.00064756
91,97.5838,1.65794,2.00934,1.09877,0.97265,1,0.995,0.5624,2.23008,3.04343,1.50479,0.0006436,0.0006436,0.0006436
92,98.5446,1.67081,2.07563,1.09107,0.97265,1,0.995,0.5624,2.23008,3.04343,1.50479,0.00063964,0.00063964,0.00063964
93,99.5647,1.58198,2.06231,1.04473,0.89062,0.97327,0.98857,0.56807,2.16235,2.83173,1.46643,0.00063568,0.00063568,0.00063568
94,100.621,1.59372,1.97839,1.071,0.89062,0.97327,0.98857,0.56807,2.16235,2.83173,1.46643,0.00063172,0.00063172,0.00063172
95,101.561,1.55695,1.92419,1.0506,0.93387,0.94062,0.98584,0.56811,2.19499,2.89924,1.483,0.00062776,0.00062776,0.00062776
96,102.62,1.51481,1.96313,1.02269,0.93387,0.94062,0.98584,0.56811,2.19499,2.89924,1.483,0.0006238,0.0006238,0.0006238
97,103.836,1.5894,2.0503,1.05296,0.92707,0.93939,0.98357,0.5872,2.22225,2.84384,1.53101,0.00061984,0.00061984,0.00061984
